,,,,Marketwise Price & Arrival Report (20-11-2025),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2025-26,"Price on 20 Nov, 2025","Price on 19 Nov, 2025","Price on 18 Nov, 2025","Arrival on 20 Nov, 2025","Arrival on 19 Nov, 2025","Arrival on 18 Nov, 2025"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2709.39,2745.85,2714.78,6085.22,5163.85,4927.76
Cereals,Barley(Jau),1980.00,2332.71,2245.86,2325.36,199.53,209.06,140.46
Cereals,Jowar(Sorghum),3699.00,3584.68,4132.67,4265.92,283.91,170.82,182.37
Cereals,Maize,2400.00,1597.50,1600.31,1590.96,54024.82,68403.26,65266.54
Cereals,Paddy(Common),2369.00,2575.74,2585.14,2547.56,76889.14,91102.98,97202.33
Cereals,Ragi(Finger Millet),4886.00,5400.00,5450.00,5350.00,0.50,0.30,0.40
Cereals,Wheat,2425.00,2567.67,2549.17,2559.49,25995.53,30101.94,34231.51
Fibre Crops,Cotton,7710.00,7078.13,6928.57,7005.61,12200.85,15812.53,16462.43
Oil Seeds,Copra,12100.00,20243.79,20670.25,20370.30,7.97,18.15,10.10
Oil Seeds,Groundnut,7265.00,5728.65,5761.02,5634.01,4006.12,6171.70,7362.46
Oil Seeds,Mustard,5950.00,6770.88,6762.45,6693.01,1610.64,1675.74,1753.59
Oil Seeds,Safflower,5940.00,-,6550.00,7889.67,-,0.20,3.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,10993.95,10662.34,11116.12,471.79,472.37,611.95
Oil Seeds,Soyabean,5328.00,4307.72,4324.03,4248.13,30540.18,46724.57,59233.89
Oil Seeds,Sunflower Seed,6760.00,-,-,4800.00,-,-,2.00
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6990.72,6372.19,6565.57,1108.69,843.23,560.40
Pulses,Bengal Gram(Gram)(Whole),5650.00,5767.02,5411.64,5523.99,2109.52,2974.05,2766.84
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6761.41,6267.05,6494.36,697.99,912.98,635.41
Pulses,Green Gram(Moong)(Whole),8768.00,6175.98,6272.72,6605.98,2365.10,1936.94,1645.62
Pulses,Lentil(Masur)(Whole),6700.00,6687.57,6542.34,6639.34,479.41,649.08,765.39
Vegetables,Onion,-,918.24,900.17,868.47,16035.79,17731.81,15490.36
Vegetables,Potato,-,1272.87,1323.85,1328.36,37990.38,58309.85,33708.75
Vegetables,Tomato,-,3634.84,3378.43,3327.88,3507.67,4039.60,4794.98

